timestamp,msg,proto,src,srcport,dst,dstport,ethsrc,ethdst,ethlen,tcpflags,tcpseq,tcpack,tcplen,tcpwindow,ttl,tos,id,dgmlen,iplen,icmptype,icmpcode,icmpid,icmpseq
05/13-03:26:11.429243 ,BAD-TRAFFIC same SRC/DST,,fe80::5823:28aa:7958:886a,,2001:0:53aa:64c:1402:2fb9:8e04:5b16,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x62,,,,,,0,0,0,0,0,,,,
05/13-03:26:12.026306 ,ICMP Time-To-Live Exceeded in Transit,ICMP,43.243.215.78,,113.251.164.233,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x66,,,,,,47,0,332,80,81920,11.0,0.0,0.0,0.0
05/13-03:26:14.363814 ,ICMP Destination Unreachable Host Unreachable,ICMP,186.251.73.62,,113.251.164.233,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x66,,,,,,48,0,38023,80,81920,3.0,1.0,0.0,0.0
05/13-03:26:17.178212 ,ICMP Destination Unreachable Network Unreachable,ICMP,218.30.53.214,,113.251.164.233,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x4E,,,,,,247,0,0,56,57344,3.0,0.0,0.0,0.0
05/13-03:26:18.203546 ,ICMP Destination Unreachable Network Unreachable,ICMP,38.122.43.158,,113.251.164.233,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x4E,,,,,,242,0,0,56,57344,3.0,0.0,0.0,0.0
05/13-03:26:18.321541 ,BAD-TRAFFIC 0 ttl,,fe80::bcba:d390:ec4:4b82,,2001:0:53aa:64c:1402:2fb9:8e04:5b16,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x62,,,,,,0,0,0,0,0,,,,
05/13-03:26:18.321541 ,BAD-TRAFFIC 0 ttl,,fe80::bcba:d390:ec4:4b82,,2001:0:53aa:64c:1402:2fb9:8e04:5b16,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x62,,,,,,0,0,0,0,0,,,,
05/13-03:26:18.321541 ,BAD-TRAFFIC same SRC/DST,,fe80::bcba:d390:ec4:4b82,,2001:0:53aa:64c:1402:2fb9:8e04:5b16,,74:5A:AA:C0:DA:F3,F8:A9:63:3A:69:1C,0x62,,,,,,0,0,0,0,0,,,,
05/13-03:26:19.526060 ,SCAN UPnP service discover attempt,UDP,113.251.164.233,54736.0,239.255.255.250,1900.0,F8:A9:63:3A:69:1C,74:5A:AA:C0:DA:F3,0xE0,,,,,,1,0,31938,202,206848,,,,
05/13-03:26:19.526283 ,SCAN UPnP service discover attempt,UDP,172.18.62.176,54738.0,239.255.255.250,1900.0,F8:A9:63:3A:69:1C,01:00:5E:7F:FF:FA,0xD8,,,,,,1,0,31804,202,206848,,,,
